"Source:","/home/leo60228/hdmi-featherwing/hdmi-featherwing.kicad_sch"
"Date:","Mon 29 Mar 2021 03:27:55 PM EDT"
"Tool:","Eeschema 5.99.0-38c849bde7-1"
"Generator:","/nix/store/15iw36v45cqr2mjy6av590b9pj2yk8ns-kicad-base-2021-03-29/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","9"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC"
"","","J1","HDMI_A","Connector:HDMI_A","HDMI:HDMI-TH_HYC12-HDMIA19-61","https://en.wikipedia.org/wiki/HDMI","C711354"
"","","R1","270","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17590"
"","","R2","270","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17590"
"","","R3","270","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17590"
"","","R4","270","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17590"
"","","R5","270","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17590"
"","","R6","270","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17590"
"","","R7","270","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17590"
"","","R8","270","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17590"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC"
"1","1","J1","HDMI_A","Connector:HDMI_A","HDMI:HDMI-TH_HYC12-HDMIA19-61","https://en.wikipedia.org/wiki/HDMI","C711354"
"2","8","R1, R2, R3, R4, R5, R6, R7, R8","270","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17590"
